,Unnamed: 0,long_name,short_name,chapter,verse,text,title,sorting_order,native_language,bible_version,sentiment,subjectivity,common_name,ner_person,ner_place,person
97964,38,Genesis,Gen,2,8,And the LORD God planted a garden eastward in Eden; and there he put the man whom he had formed.,,,English,KJV_1769,Neutral,"('Objective', 0.0)",Genesis,[],['Eden'],['Eden']
97969,43,Genesis,Gen,2,13,And the name of the second river is Gihon: the same is it that compasseth the whole land of Ethiopia.,,,English,KJV_1769,Positive,"('Objective', 0.17500000000000002)",Genesis,['Gihon'],['Ethiopia'],['Ethiopia']
97970,44,Genesis,Gen,2,14,And the name of the third river is Hiddekel: that is it which goeth toward the east of Assyria. And the fourth river is Euphrates.,,,English,KJV_1769,Neutral,"('Objective', 0.0)",Genesis,['Hiddekel'],['Assyria'],['Assyria']
97979,53,Genesis,Gen,2,23,"And Adam said, This is now bone of my bones, and flesh of my flesh: she shall be called Woman, because she was taken out of Man.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",Genesis,['Adam'],['Man'],['Man']
97992,66,Genesis,Gen,3,11,"And he said, Who told thee that thou wast naked? Hast thou eaten of the tree, whereof I commanded thee that thou shouldest not eat?",,,English,KJV_1769,Neutral,"('Objective', 0.4)",Genesis,[],['thou wast naked'],['thou']
98005,79,Genesis,Gen,3,24,"So he drove out the man; and he placed at the east of the garden of Eden Cherubims, and a flaming sword which turned every way, to keep the way of the tree of life.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",Genesis,[],['Eden Cherubims'],['Eden']
98024,98,Genesis,Gen,4,19,"And Lamech took unto him two wives: the name of the one was Adah, and the name of the other Zillah.",,,English,KJV_1769,Negative,"('Objective', 0.375)",Genesis,['Lamech'],"['Adah', 'Zillah']","['Adah', 'Zillah']"
98025,99,Genesis,Gen,4,20,"And Adah bare Jabal: he was the father of such as dwell in tents, and of such as have cattle.",,,English,KJV_1769,Positive,"('Objective', 0.3666666666666667)",Genesis,['Jabal'],['Adah'],['Adah']
98027,101,Genesis,Gen,4,22,"And Zillah, she also bare Tubalcain, an instructer of every artificer in brass and iron: and the sister of Tubalcain was Naamah.",,,English,KJV_1769,Positive,"('Objective', 0.1)",Genesis,['Tubalcain'],"['Zillah', 'Tubalcain']","['Zillah', 'Tubalcain']"
98028,102,Genesis,Gen,4,23,"And Lamech said unto his wives, Adah and Zillah, Hear my voice; ye wives of Lamech, hearken unto my speech: for I have slain a man to my wounding, and a young man to my hurt.",,,English,KJV_1769,Positive,"('Objective', 0.4)",Genesis,[],"['Adah', 'Zillah']","['Adah', 'Zillah']"
98081,155,Genesis,Gen,6,18,"But with thee will I establish my covenant; and thou shalt come into the ark, thou, and thy sons, and thy wife, and thy sons' wives with thee.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",Genesis,[],['thou'],['thou']
98125,199,Genesis,Gen,8,16,"Go forth of the ark, thou, and thy wife, and thy sons, and thy sons' wives with thee.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",Genesis,[],['thou'],['thou']
98149,223,Genesis,Gen,9,18,"And the sons of Noah, that went forth of the ark, were Shem, and Ham, and Japheth: and Ham is the father of Canaan.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",Genesis,"['Noah', 'Japheth', 'Ham']",['Canaan'],['Canaan']
98153,227,Genesis,Gen,9,22,"And Ham, the father of Canaan, saw the nakedness of his father, and told his two brethren without.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",Genesis,[],['Canaan'],['Canaan']
98156,230,Genesis,Gen,9,25,"And he said, Cursed be Canaan; a servant of servants shall he be unto his brethren.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",Genesis,[],['Canaan'],['Canaan']
98157,231,Genesis,Gen,9,26,"And he said, Blessed be the LORD God of Shem; and Canaan shall be his servant.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",Genesis,[],['Canaan'],['Canaan']
98158,232,Genesis,Gen,9,27,"God shall enlarge Japheth, and he shall dwell in the tents of Shem; and Canaan shall be his servant.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",Genesis,['Japheth'],['Canaan'],['Canaan']
98162,236,Genesis,Gen,10,2,"The sons of Japheth; Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",Genesis,"['Japheth', 'Gomer', 'Magog', 'Javan']","['Madai', 'Meshech']","['Madai', 'Meshech']"
98163,237,Genesis,Gen,10,3,"And the sons of Gomer; Ashkenaz, and Riphath, and Togarmah.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",Genesis,"['Gomer', 'Ashkenaz']","['Riphath', 'Togarmah']","['Riphath', 'Togarmah']"
98166,240,Genesis,Gen,10,6,"And the sons of Ham; Cush, and Mizraim, and Phut, and Canaan.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",Genesis,"['Cush', 'Mizraim']","['Ham', 'Canaan']","['Ham', 'Canaan']"
98167,241,Genesis,Gen,10,7,"And the sons of Cush; Seba, and Havilah, and Sabtah, and Raamah, and Sabtecha: and the sons of Raamah; Sheba, and Dedan.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",Genesis,[],"['Cush', 'Seba', 'Sheba', 'Dedan']","['Cush', 'Seba', 'Sheba', 'Dedan']"
98170,244,Genesis,Gen,10,10,"And the beginning of his kingdom was Babel, and Erech, and Accad, and Calneh, in the land of Shinar.",,,English,KJV_1769,Neutral,"('Objective', 0.0)",Genesis,"['Babel', 'Accad', 'Calneh']",['Shinar'],['Shinar']
98175,249,Genesis,Gen,10,15,"And Canaan begat Sidon his firstborn, and Heth,",,,English,KJV_1769,Neutral,"('Objective', 0.0)",Genesis,"['Sidon', 'Heth']",['Canaan'],['Canaan']
